time,open,high,low,close,volume
2010-07-26 08:00:00,1.05246,1.0526200000000001,1.05053,1.05165,1443
2010-07-26 09:00:00,1.05161,1.05432,1.04994,1.05313,1867
2010-07-26 10:00:00,1.05314,1.05506,1.0521,1.05494,1737
2010-07-26 11:00:00,1.05501,1.05549,1.05133,1.05198,1638
2010-07-26 12:00:00,1.0520100000000001,1.05279,1.05117,1.05153,1348
2010-07-26 13:00:00,1.05158,1.05181,1.04895,1.04982,1676
2010-07-26 14:00:00,1.04987,1.0504,1.04917,1.04997,1379
2010-07-26 15:00:00,1.05,1.05047,1.04712,1.04844,1897
2010-07-26 16:00:00,1.0484,1.04919,1.04744,1.04766,1907
2010-07-26 17:00:00,1.04771,1.04827,1.04596,1.0481,1816
2010-07-26 18:00:00,1.04808,1.04887,1.04655,1.04812,1460
2010-07-26 19:00:00,1.04813,1.04913,1.04768,1.04913,1181
2010-07-26 20:00:00,1.04914,1.04954,1.04827,1.04894,1197
2010-07-26 21:00:00,1.04898,1.04898,1.0478,1.04818,951
2010-07-26 22:00:00,1.0482,1.04887,1.04816,1.04842,646
2010-07-26 23:00:00,1.04841,1.04882,1.04811,1.0487,681
2010-07-27 00:00:00,1.04876,1.04933,1.04842,1.04845,930
2010-07-27 01:00:00,1.04848,1.04952,1.04847,1.04943,756
2010-07-27 02:00:00,1.04945,1.05007,1.04901,1.04998,531
2010-07-27 03:00:00,1.0500099999999999,1.05004,1.04882,1.04933,730
2010-07-27 04:00:00,1.04934,1.04975,1.04879,1.04922,720
2010-07-27 05:00:00,1.04921,1.04949,1.04893,1.04933,447
2010-07-27 06:00:00,1.04936,1.05012,1.04927,1.04982,979
2010-07-27 07:00:00,1.04981,1.04982,1.04852,1.04868,780
2010-07-27 08:00:00,1.04867,1.04981,1.04809,1.0498,1553
2010-07-27 09:00:00,1.04977,1.05628,1.04875,1.05556,2596
2010-07-27 10:00:00,1.05552,1.05628,1.05396,1.05628,2247
2010-07-27 11:00:00,1.05631,1.0601099999999999,1.05631,1.05795,2178
2010-07-27 12:00:00,1.05794,1.05912,1.05766,1.05856,1914
2010-07-27 13:00:00,1.05854,1.05902,1.05659,1.05768,2389
2010-07-27 14:00:00,1.0577,1.05853,1.05598,1.05835,1748
2010-07-27 15:00:00,1.05834,1.05999,1.05762,1.05943,2059
2010-07-27 16:00:00,1.05937,1.06299,1.05882,1.06224,2036
2010-07-27 17:00:00,1.06227,1.06391,1.06168,1.06217,1824
2010-07-27 18:00:00,1.06218,1.06226,1.05988,1.06133,1213
2010-07-27 19:00:00,1.06136,1.06252,1.06043,1.06124,1227
2010-07-27 20:00:00,1.06128,1.06188,1.0598,1.0598,1096
2010-07-27 21:00:00,1.05978,1.0605,1.05957,1.05989,1107
2010-07-27 22:00:00,1.05988,1.06104,1.05959,1.06039,1130
2010-07-27 23:00:00,1.06036,1.06064,1.05974,1.05986,740
2010-07-28 00:00:00,1.05991,1.0611,1.05991,1.06107,638
2010-07-28 01:00:00,1.06109,1.06129,1.06035,1.06115,1143
2010-07-28 02:00:00,1.06114,1.06213,1.0609,1.06213,1075
2010-07-28 03:00:00,1.06217,1.06227,1.06074,1.06186,1511
2010-07-28 04:00:00,1.0619,1.06191,1.06031,1.0606,749
2010-07-28 05:00:00,1.06054,1.06074,1.05972,1.05992,657
2010-07-28 06:00:00,1.05997,1.06004,1.0589,1.05924,754
2010-07-28 07:00:00,1.05922,1.05971,1.05896,1.05912,678
2010-07-28 08:00:00,1.05913,1.0609,1.05903,1.06061,1565
2010-07-28 09:00:00,1.06058,1.0616,1.05877,1.06112,2093
2010-07-28 10:00:00,1.06111,1.06218,1.05939,1.05961,1861
2010-07-28 11:00:00,1.05964,1.05992,1.05735,1.05866,1857
2010-07-28 12:00:00,1.05863,1.05924,1.05746,1.05917,1707
2010-07-28 13:00:00,1.05915,1.05943,1.05778,1.05827,1730
2010-07-28 14:00:00,1.05826,1.05933,1.05719,1.05846,2047
2010-07-28 15:00:00,1.0584500000000001,1.05895,1.05497,1.05574,2155
2010-07-28 16:00:00,1.05575,1.05638,1.05365,1.056,2289
2010-07-28 17:00:00,1.05602,1.05861,1.0558,1.05782,1836
2010-07-28 18:00:00,1.05781,1.05852,1.05677,1.05703,1382
2010-07-28 19:00:00,1.05705,1.05812,1.05671,1.05741,1431
2010-07-28 20:00:00,1.05744,1.05822,1.05687,1.05772,1650
2010-07-28 21:00:00,1.05769,1.05801,1.05657,1.05657,1026
