time,open,high,low,close,volume
2010-07-27 08:00:00,1.03194,1.03304,1.0307,1.03162,1104
2010-07-27 09:00:00,1.03157,1.03196,1.03016,1.03109,1681
2010-07-27 10:00:00,1.03107,1.0313,1.02977,1.03042,1241
2010-07-27 11:00:00,1.03038,1.0318,1.03003,1.03015,1116
2010-07-27 12:00:00,1.0302,1.0302,1.02905,1.02956,926
2010-07-27 13:00:00,1.02957,1.02958,1.02563,1.02582,1265
2010-07-27 14:00:00,1.02584,1.0290300000000001,1.0255,1.02852,1567
2010-07-27 15:00:00,1.0285,1.03082,1.02696,1.03047,2388
2010-07-27 16:00:00,1.03048,1.03579,1.02868,1.03387,2993
2010-07-27 17:00:00,1.0338,1.03642,1.03328,1.03564,2317
2010-07-27 18:00:00,1.03567,1.03656,1.03392,1.03565,1442
2010-07-27 19:00:00,1.03564,1.03943,1.0354700000000001,1.0374,1493
2010-07-27 20:00:00,1.03736,1.03748,1.03529,1.03622,1620
2010-07-27 21:00:00,1.03623,1.03653,1.03534,1.03604,1208
2010-07-27 22:00:00,1.03602,1.03695,1.03496,1.03525,915
2010-07-27 23:00:00,1.03523,1.03572,1.03479,1.0349,503
2010-07-28 00:00:00,1.03526,1.03582,1.03518,1.03533,493
2010-07-28 01:00:00,1.03532,1.03585,1.03504,1.03564,442
2010-07-28 02:00:00,1.03563,1.03599,1.03502,1.03593,734
2010-07-28 03:00:00,1.03595,1.03896,1.03526,1.03783,1234
2010-07-28 04:00:00,1.03784,1.03821,1.03532,1.03548,1090
2010-07-28 05:00:00,1.03552,1.03604,1.03493,1.03525,727
2010-07-28 06:00:00,1.03528,1.03632,1.03514,1.03627,675
2010-07-28 07:00:00,1.0362,1.03623,1.03346,1.03457,761
2010-07-28 08:00:00,1.03454,1.03464,1.02982,1.03159,1508
2010-07-28 09:00:00,1.03158,1.03251,1.03052,1.03145,1519
2010-07-28 10:00:00,1.03147,1.0322,1.02992,1.03136,1395
2010-07-28 11:00:00,1.03138,1.03227,1.03083,1.03108,1087
2010-07-28 12:00:00,1.0311,1.03351,1.03077,1.03107,1155
2010-07-28 13:00:00,1.03108,1.03211,1.03054,1.03087,1047
2010-07-28 14:00:00,1.03091,1.03319,1.03057,1.03187,1832
2010-07-28 15:00:00,1.03184,1.03533,1.0314,1.0341,2458
2010-07-28 16:00:00,1.03412,1.03765,1.03397,1.03675,3048
2010-07-28 17:00:00,1.0368,1.0371,1.0346,1.03548,2270
2010-07-28 18:00:00,1.0355,1.03629,1.03487,1.03538,1195
2010-07-28 19:00:00,1.03537,1.0372,1.0352,1.03657,1234
2010-07-28 20:00:00,1.03655,1.03823,1.03569,1.03807,1408
2010-07-28 21:00:00,1.03805,1.03883,1.03748,1.03826,1414
2010-07-28 22:00:00,1.03829,1.03849,1.0374,1.03844,918
2010-07-28 23:00:00,1.03849,1.03876,1.03788,1.03836,460
2010-07-29 00:00:00,1.03826,1.03868,1.03793,1.03796,418
2010-07-29 01:00:00,1.03794,1.03832,1.03739,1.03743,486
2010-07-29 02:00:00,1.03744,1.039,1.03712,1.03826,850
2010-07-29 03:00:00,1.03828,1.0384,1.0372,1.0372,712
2010-07-29 04:00:00,1.03715,1.03751,1.0359,1.03601,672
2010-07-29 05:00:00,1.03603,1.03636,1.03515,1.03542,785
2010-07-29 06:00:00,1.03544,1.0359,1.03508,1.03533,635
2010-07-29 07:00:00,1.0352999999999999,1.0359099999999999,1.03404,1.03427,568
2010-07-29 08:00:00,1.0342500000000001,1.03451,1.03257,1.03341,1186
2010-07-29 09:00:00,1.0334,1.03488,1.03258,1.03359,1297
2010-07-29 10:00:00,1.03357,1.03365,1.03142,1.03168,1124
2010-07-29 11:00:00,1.03165,1.03169,1.0307,1.03079,826
2010-07-29 12:00:00,1.03077,1.03105,1.03023,1.03059,883
2010-07-29 13:00:00,1.03057,1.03271,1.03057,1.03245,1210
2010-07-29 14:00:00,1.03246,1.03615,1.03177,1.03296,2067
2010-07-29 15:00:00,1.03297,1.03426,1.03115,1.03307,2315
2010-07-29 16:00:00,1.03306,1.03456,1.03277,1.03358,2391
2010-07-29 17:00:00,1.03356,1.0382,1.03318,1.03678,2712
2010-07-29 18:00:00,1.03677,1.03865,1.0364,1.03741,1708
2010-07-29 19:00:00,1.03739,1.03746,1.03522,1.03605,1370
2010-07-29 20:00:00,1.03603,1.03697,1.03507,1.03556,1660
2010-07-29 21:00:00,1.03555,1.0359099999999999,1.03436,1.0358,1738
2010-07-29 22:00:00,1.03579,1.03666,1.03541,1.03661,881
2010-07-29 23:00:00,1.03668,1.03721,1.03541,1.03551,701
2010-07-30 00:00:00,1.0355,1.03564,1.03484,1.03498,495
2010-07-30 01:00:00,1.03496,1.03572,1.03471,1.03556,479
2010-07-30 02:00:00,1.03558,1.0368,1.03544,1.03628,787
2010-07-30 03:00:00,1.0363,1.03668,1.03503,1.0354,768
2010-07-30 04:00:00,1.03541,1.03643,1.03484,1.03616,579
2010-07-30 05:00:00,1.03614,1.03651,1.03566,1.03596,584
2010-07-30 06:00:00,1.03597,1.036,1.03536,1.03555,608
2010-07-30 07:00:00,1.03557,1.03573,1.03491,1.03566,632
2010-07-30 08:00:00,1.03571,1.03627,1.03327,1.03397,1411
2010-07-30 09:00:00,1.03401,1.03522,1.0332,1.03414,1501
2010-07-30 10:00:00,1.03419,1.03518,1.0327,1.03278,1495
2010-07-30 11:00:00,1.03281,1.03405,1.03232,1.03402,1219
2010-07-30 12:00:00,1.03404,1.03488,1.03091,1.03096,1131
2010-07-30 13:00:00,1.03097,1.03258,1.03087,1.0315,1206
2010-07-30 14:00:00,1.03147,1.03635,1.03135,1.03557,2547
2010-07-30 15:00:00,1.03558,1.03743,1.03316,1.03369,3103
2010-07-30 16:00:00,1.03371,1.03389,1.02927,1.02944,3198
2010-07-30 17:00:00,1.02945,1.03146,1.02874,1.02888,2611
2010-07-30 18:00:00,1.02889,1.0292,1.02637,1.02808,1940
2010-07-30 19:00:00,1.02809,1.03046,1.02727,1.03038,1447
2010-07-30 20:00:00,1.03034,1.03038,1.02828,1.02923,1633
2010-07-30 21:00:00,1.02922,1.02922,1.02633,1.02771,1468
2010-07-30 22:00:00,1.02768,1.02966,1.02738,1.02945,731
2010-08-02 01:00:00,1.02853,1.02942,1.02829,1.02894,740
2010-08-02 02:00:00,1.02889,1.02891,1.02643,1.02667,823
2010-08-02 03:00:00,1.02669,1.02743,1.02636,1.02655,839
2010-08-02 04:00:00,1.02654,1.02803,1.02646,1.02743,648
2010-08-02 05:00:00,1.02742,1.02763,1.02602,1.02621,659
2010-08-02 06:00:00,1.02619,1.02707,1.0261,1.02625,703
2010-08-02 07:00:00,1.02628,1.02653,1.02599,1.02623,625
2010-08-02 08:00:00,1.02621,1.02792,1.02554,1.02757,1169
2010-08-02 09:00:00,1.02753,1.02759,1.02256,1.02265,1862
2010-08-02 10:00:00,1.0227,1.02448,1.02255,1.02407,1226
2010-08-02 11:00:00,1.02409,1.02428,1.02271,1.0232,1048
2010-08-02 12:00:00,1.02319,1.02347,1.02257,1.0233,879
2010-08-02 13:00:00,1.02327,1.02372,1.02197,1.02263,909
2010-08-02 14:00:00,1.02267,1.02453,1.02258,1.02436,1520
2010-08-02 15:00:00,1.02433,1.0248,1.02311,1.02394,2305
2010-08-02 16:00:00,1.02396,1.02396,1.02034,1.02165,2245
2010-08-02 17:00:00,1.02166,1.02327,1.02146,1.02266,1518
2010-08-02 18:00:00,1.02268,1.02387,1.02203,1.02308,1140
2010-08-02 19:00:00,1.02305,1.02365,1.02207,1.02306,1020
2010-08-02 20:00:00,1.02308,1.02394,1.02246,1.02379,962
2010-08-02 21:00:00,1.0238,1.02396,1.02276,1.02358,857
2010-08-02 22:00:00,1.02359,1.02359,1.02277,1.02278,439
2010-08-02 23:00:00,1.0228,1.02354,1.02278,1.02354,327
2010-08-03 00:00:00,1.02359,1.02361,1.02252,1.02253,365
2010-08-03 01:00:00,1.02252,1.02289,1.02248,1.02262,488
2010-08-03 02:00:00,1.02266,1.02331,1.02254,1.02329,620
2010-08-03 03:00:00,1.02324,1.0247,1.02257,1.02367,755
2010-08-03 04:00:00,1.0237,1.02447,1.02357,1.02415,599
2010-08-03 05:00:00,1.0242,1.0242,1.02354,1.0239,446
2010-08-03 06:00:00,1.02392,1.02408,1.02263,1.02282,615
2010-08-03 07:00:00,1.02284,1.02532,1.02258,1.02498,915
2010-08-03 08:00:00,1.02503,1.02543,1.02347,1.02449,1457
2010-08-03 09:00:00,1.0245,1.02574,1.02448,1.02546,1308
2010-08-03 10:00:00,1.02548,1.02558,1.02356,1.02425,1357
2010-08-03 11:00:00,1.02426,1.02459,1.02297,1.02314,1161
2010-08-03 12:00:00,1.02315,1.02364,1.02246,1.02334,1366
2010-08-03 13:00:00,1.02329,1.02528,1.02286,1.0242,1048
2010-08-03 14:00:00,1.02422,1.02509,1.02316,1.02317,1561
2010-08-03 15:00:00,1.02319,1.02469,1.02272,1.02416,1854
2010-08-03 16:00:00,1.02415,1.02723,1.02334,1.02403,2485
2010-08-03 17:00:00,1.02401,1.02419,1.02198,1.022,1775
2010-08-03 18:00:00,1.02198,1.02452,1.02187,1.02365,1316
2010-08-03 19:00:00,1.02364,1.02403,1.02325,1.0235,1002
2010-08-03 20:00:00,1.02348,1.02356,1.02257,1.02328,907
2010-08-03 21:00:00,1.02327,1.02405,1.02292,1.02366,885
2010-08-03 22:00:00,1.02368,1.024,1.02314,1.02317,633
2010-08-03 23:00:00,1.02322,1.0243,1.02284,1.02385,894
2010-08-04 00:00:00,1.02399,1.02419,1.02366,1.02378,370
2010-08-04 01:00:00,1.02373,1.02395,1.02329,1.02354,446
2010-08-04 02:00:00,1.02356,1.02417,1.02324,1.024,667
2010-08-04 03:00:00,1.02407,1.02467,1.02352,1.02376,623
2010-08-04 04:00:00,1.02378,1.02387,1.02301,1.02352,492
