time,open,high,low,close,volume
2004-06-16,1.7429000000000001,1.7454,1.7408000000000001,1.7445,133
2004-06-17,1.7444,1.7763,1.7408000000000001,1.7666,11817
2004-06-18,1.7662,1.7673999999999999,1.7508,1.7618,20632
2004-06-20,1.7576,1.7597,1.7570999999999999,1.7583,133
2004-06-21,1.7585,1.7633999999999999,1.7492,1.7538,7315
2004-06-22,1.7537,1.7643,1.7511999999999999,1.7604,7480
2004-06-23,1.7605,1.7662,1.7532999999999999,1.7574999999999998,8158
2004-06-24,1.7576,1.7579,1.7346,1.7388,9268
2004-06-25,1.7385000000000002,1.7409,1.729,1.7372,7566
2004-06-27,1.7395,1.7417,1.7395,1.7414,159
2004-06-28,1.7410999999999999,1.746,1.7370999999999999,1.7391999999999999,7967
2004-06-29,1.7389999999999999,1.7572,1.7365,1.7492999999999999,8715
2004-06-30,1.7489,1.7591999999999999,1.7429000000000001,1.7465000000000002,9711
2004-07-01,1.7467000000000001,1.748,1.7201,1.7208,9052
2004-07-02,1.7207,1.7347000000000001,1.7187000000000001,1.7258,8344
2004-07-04,1.7288000000000001,1.7295,1.7275,1.7285,148
2004-07-05,1.7288000000000001,1.7313,1.72,1.722,5187
2004-07-06,1.7222,1.7259,1.7109999999999999,1.7173,7564
2004-07-07,1.7204000000000002,1.7210999999999999,1.7073,1.7095,8830
2004-07-08,1.7095,1.7224,1.7078,1.7168999999999999,8062
2004-07-09,1.718,1.7206000000000001,1.7117,1.7185000000000001,7614
2004-07-11,1.7162,1.7163,1.709,1.7103000000000002,296
2004-07-12,1.7101,1.7147000000000001,1.7022,1.7063000000000001,7248
2004-07-13,1.7055,1.7084000000000001,1.6968999999999999,1.7015,8774
2004-07-14,1.7006000000000001,1.7139,1.6978,1.7065000000000001,7546
2004-07-15,1.7062,1.7147999999999999,1.7039,1.7117,9691
2004-07-16,1.7118,1.7134,1.6984,1.6999,13829
2004-07-18,1.7004000000000001,1.7008,1.6961,1.697,221
2004-07-19,1.6966999999999999,1.7005,1.6905999999999999,1.6954,13202
2004-07-20,1.6955,1.7022,1.6901000000000002,1.6934,14262
2004-07-21,1.6935,1.7168999999999999,1.6913,1.7155,18130
2004-07-22,1.7155,1.7264,1.7083,1.7134,17066
2004-07-23,1.7142,1.7237,1.7031,1.7036,16786
2004-07-25,1.7073,1.7088999999999999,1.7057,1.7078,202
2004-07-26,1.7079,1.7142,1.7016,1.7077,15370
2004-07-27,1.7077,1.7290999999999999,1.7032,1.72,17284
2004-07-28,1.7199,1.7292,1.7166000000000001,1.7267000000000001,18811
2004-07-29,1.7264,1.7336,1.7193,1.7214,20404
2004-07-30,1.7215,1.7288999999999999,1.7077,1.7098,19365
2004-08-01,1.7142,1.7151,1.7109999999999999,1.7114,330
2004-08-02,1.7112,1.7202,1.7008999999999999,1.7123,15635
2004-08-03,1.7122000000000002,1.7191,1.7021,1.7078,19527
2004-08-04,1.7075,1.7137,1.7034,1.7088999999999999,18606
2004-08-05,1.7092,1.7175,1.708,1.7159,15979
2004-08-06,1.716,1.7214,1.7115,1.7196,16639
2004-08-08,1.7202,1.722,1.7195,1.722,147
2004-08-09,1.7219,1.7229,1.7074,1.7144,13208
2004-08-10,1.7144,1.7218,1.7112,1.7166000000000001,13846
2004-08-11,1.7158,1.7191,1.7069,1.7104,11831
2004-08-12,1.7111,1.7162,1.7085,1.7149,13804
2004-08-13,1.7134,1.73,1.7130999999999998,1.725,13085
2004-08-15,1.7252999999999998,1.7259,1.7242,1.7255,308
2004-08-16,1.7255,1.726,1.7141,1.7215,15273
2004-08-17,1.7214,1.7285,1.7170999999999998,1.7233,15335
2004-08-18,1.7233,1.7273,1.7187000000000001,1.7227999999999999,11406
2004-08-19,1.7229999999999999,1.7277,1.7017,1.7052,10811
2004-08-20,1.7054,1.7090999999999998,1.6975,1.7014,12216
2004-08-22,1.701,1.7025000000000001,1.7002000000000002,1.7015,244
2004-08-23,1.7015,1.7074,1.6926999999999999,1.7044000000000001,15545
2004-08-24,1.7043,1.7185000000000001,1.7012,1.7122000000000002,13586
2004-08-25,1.7121,1.7151,1.7055,1.7117,6783
2004-08-26,1.7081,1.7244000000000002,1.7058,1.7198,13367
2004-08-27,1.7199,1.7208,1.7054,1.7084000000000001,15933
2004-08-29,1.7115,1.7122000000000002,1.7084000000000001,1.7093,253
2004-08-30,1.7109,1.7265000000000001,1.7081,1.724,9105
2004-08-31,1.7227000000000001,1.7330999999999999,1.7187000000000001,1.7269,13115
2004-09-01,1.7267000000000001,1.7366000000000001,1.7242,1.7354,12096
2004-09-02,1.7353,1.7509000000000001,1.7318,1.746,12684
2004-09-03,1.7458,1.7515,1.7399,1.7437,13399
2004-09-05,1.7433999999999998,1.7446000000000002,1.7419,1.7441,167
2004-09-06,1.7438,1.7481,1.74,1.7412,7522
2004-09-07,1.7412999999999998,1.7473,1.7366000000000001,1.7424,11637
2004-09-08,1.7450999999999999,1.7541,1.7402,1.7469999999999999,14092
2004-09-09,1.7469000000000001,1.7774,1.7466,1.7728000000000002,15438
2004-09-10,1.7725,1.7785,1.7572999999999999,1.7624,14591
2004-09-12,1.7608000000000001,1.7633999999999999,1.7604,1.7624,256
2004-09-13,1.7623,1.7635999999999998,1.7519,1.758,10854
2004-09-14,1.7578,1.7597,1.7408000000000001,1.7446000000000002,13338
2004-09-15,1.7414,1.7513999999999998,1.7414,1.7464,14290
2004-09-16,1.7465000000000002,1.7494,1.7346,1.7449,12618
